country,title,source,published,negative,neutral,positive,compound,sentiment_label,date
Iran,"Oil rises as diplomacy between US, Iran stalls",The Punch,2026-06-02 00:09:46+00:00,0.24,0.76,0.0,-0.8316,NEGATIVE,2026-06-02
China,The China Threat to… Everything,Dailyreckoning.com,2026-06-01 22:00:30+00:00,0.285,0.649,0.067,-0.8862,NEGATIVE,2026-06-01
Russia,"Macron says French Navy, backed by UK, intercepted a sanctioned tanker from Russia",Japan Today,2026-06-01 21:39:11+00:00,0.0,0.807,0.193,0.8591,POSITIVE,2026-06-01
Iran,New regulations on outbound investment; Qiushi on future industries; Chip export control dysfunction; Shangri-La Dialogue; EU-China,Sinocism.com,2026-06-01 21:30:51+00:00,0.042,0.928,0.03,-0.2023,NEGATIVE,2026-06-01
Russia,The last exit from the Ukraine conflict may already be closing,RT,2026-06-01 21:18:39+00:00,0.169,0.789,0.042,-0.6486,NEGATIVE,2026-06-01
Iran,The last exit from the Ukraine conflict may already be closing,RT,2026-06-01 21:18:39+00:00,0.169,0.789,0.042,-0.6486,NEGATIVE,2026-06-01
Russia,Russia Is Seizing Children to Use in Combat: Ukraine,Newser,2026-06-01 21:00:00+00:00,0.12,0.88,0.0,-0.6908,NEGATIVE,2026-06-01
Iran,An End to the War With Iran Was in Reach—and Trump Just Kept Sabotaging It,Slate Magazine,2026-06-01 20:44:33+00:00,0.281,0.719,0.0,-0.8402,NEGATIVE,2026-06-01
Russia,France Boards Tanker Tied to Russian Oil Trade,Rigzone,2026-06-01 20:00:00+00:00,0.0,1.0,0.0,0.0,NEUTRAL,2026-06-01
Russia,French special forces board Russian Shadow Fleet oil tanker in Atlantic,TheJournal.ie,2026-06-01 17:45:30+00:00,0.0,0.932,0.068,0.4019,POSITIVE,2026-06-01
Iran,Pakistan’s Diplomatic Pivot Makes It a Trump-Era Power Player,Foreign Policy,2026-06-01 17:04:21+00:00,0.0,0.844,0.156,0.5719,POSITIVE,2026-06-01
Iran,Iran seeks interim deal with US to ease economic strain while preserving nuclear leverage,The Times of India,2026-06-01 16:37:19+00:00,0.121,0.712,0.167,0.5859,POSITIVE,2026-06-01
China,US firms still dominate chip subsidies,Theregister.com,2026-06-01 16:21:06+00:00,0.08,0.642,0.278,0.5719,POSITIVE,2026-06-01
